mir,julianDate,datetime
141,2405669.18958,1874-May-25 16:33
142,2406356.17986,1876-Apr-11 16:19
143,2407043.16944,1878-Feb-27 16:04
144,2407730.14097,1880-Jan-15 15:23
145,2408417.11875,1881-Dec-02 14:51
146,2409104.07778,1883-Oct-20 13:52
147,2409791.01944,1885-Sep-06 12:28
148,2410478.00278,1887-Jul-25 12:04
149,2411164.98958,1889-Jun-11 11:45
150,2411851.94583,1891-Apr-29 10:42
151,2412538.91389,1893-Mar-16 09:56
152,2413225.90694,1895-Feb-01 09:46
153,2413912.85278,1896-Dec-19 08:28
154,2414599.82292,1898-Nov-06 07:45
155,2415286.81458,1900-Sep-24 07:33
156,2415973.78333,1902-Aug-12 06:48
157,2416660.74583,1904-Jun-29 05:54
158,2417347.72639,1906-May-17 05:26
159,2418034.67292,1908-Apr-03 04:09
160,2418721.64653,1910-Feb-19 03:31
161,2419408.65139,1912-Jan-07 03:38
162,2420095.62847,1913-Nov-24 03:05
163,2420782.58056,1915-Oct-12 01:56
164,2421469.55764,1917-Aug-29 01:23
165,2422156.51667,1919-Jul-17 00:24
166,2422843.4625,1921-Jun-02 23:06
167,2423530.44583,1923-Apr-20 22:42
168,2424217.43542,1925-Mar-07 22:27
169,2424904.41042,1927-Jan-23 21:51
170,2425591.38264,1928-Dec-10 21:11
171,2426278.35069,1930-Oct-28 20:25
172,2426965.29097,1932-Sep-14 18:59
173,2427652.26667,1934-Aug-02 18:24
174,2428339.26042,1936-Jun-19 18:15
175,2429026.22639,1938-May-07 17:26
176,2429713.18889,1940-Mar-24 16:32
177,2430400.18889,1942-Feb-09 16:32
178,2431087.14097,1943-Dec-28 15:23
179,2431774.1,1945-Nov-14 14:24
180,2432461.09097,1947-Oct-02 14:11
181,2433148.06597,1949-Aug-19 13:35
182,2433835.02361,1951-Jul-07 12:34
183,2434522.00347,1953-May-24 12:05
184,2435208.95556,1955-Apr-11 10:56
185,2435895.91389,1957-Feb-26 09:56
186,2436582.91458,1959-Jan-14 09:57
187,2437269.89792,1960-Dec-01 09:33
188,2437956.85069,1962-Oct-19 08:25
189,2438643.82292,1964-Sep-05 07:45
190,2439330.79236,1966-Jul-24 07:01
191,2440017.73681,1968-Jun-10 05:41
192,2440704.71458,1970-Apr-28 05:09
193,2441391.70833,1972-Mar-15 05:00
194,2442078.69097,1974-Jan-31 04:35
195,2442765.65833,1975-Dec-19 03:48
196,2443452.63472,1977-Nov-05 03:14
197,2444139.57569,1979-Sep-23 01:49
198,2444826.54236,1981-Aug-10 01:01
199,2445513.53889,1983-Jun-28 00:56
200,2446200.51042,1985-May-15 00:15
201,2446887.46458,1987-Apr-01 23:09
202,2447574.45833,1989-Feb-16 23:00
203,2448261.41944,1991-Jan-04 22:04
204,2448948.36736,1992-Nov-21 20:49
